city,city_ascii,lat,lng,country
Grenade,Grenade,43.7722,1.2936,France
Tovāla,Tovala,8.2312,77.5060,India
Fredensborg,Fredensborg,55.9750,12.4056,Denmark
Sileby,Sileby,52.7310,-1.1060,United Kingdom
Segni,Segni,41.6833,13.0167,Italy
Nuquí,Nuqui,5.7167,-77.2667,Colombia
Ūnagatla,Unagatla,16.9611,81.6610,India
Sheffield Lake,Sheffield Lake,41.4883,-82.0979,United States
Sarenja,Sarenja,25.4449,83.8942,India
Gāzulapalle,Gazulapalle,15.4036,78.6176,India
Oak Grove,Oak Grove,45.3409,-93.3264,United States
Hlobyne,Hlobyne,49.3903,33.2503,Ukraine
Rio das Flores,Rio das Flores,-22.1678,-43.5858,Brazil
Wangdue Phodrang,Wangdue Phodrang,27.4833,89.9000,Bhutan
Villamediana de Iregua,Villamediana de Iregua,42.4333,-2.4167,Spain
Sānchi,Sanchi,23.4865,77.7378,India
San Francisco Chimalpa,San Francisco Chimalpa,19.4419,-99.3419,Mexico
Borskoye,Borskoye,53.0261,51.6983,Russia
Fuldabrück,Fuldabruck,51.4000,9.4667,Germany
Zacháro,Zacharo,37.4833,21.6500,Greece
Bayyavaram,Bayyavaram,17.6638,82.9420,India
Kusmaul,Kusmaul,26.1911,87.1311,India
Tvrdošín,Tvrdosin,49.3343,19.5548,Slovakia
Velden am Wörthersee,Velden am Worthersee,46.6000,14.0333,Austria
Yaguará,Yaguara,2.6661,-75.5186,Colombia
Noventa Vicentina,Noventa Vicentina,45.2833,11.5333,Italy
Bazimini,Bazimini,-12.1833,44.4500,Comoros
Donnacona,Donnacona,46.6747,-71.7294,Canada
Sucha Beskidzka,Sucha Beskidzka,49.7403,19.5886,Poland
Emirgazi,Emirgazi,37.9022,33.8372,Turkey
Mnichovo Hradiště,Mnichovo Hradiste,50.5214,14.9736,Czechia
Karadge,Karadge,16.4200,74.5800,India
Phulhara,Phulhara,25.8937,86.1300,India
Vanavāsi,Vanavasi,11.7523,77.8779,India
Groß Kreutz,Gross Kreutz,52.4000,12.7833,Germany
Ouled Rahou,Ouled Rahou,36.0069,0.5919,Algeria
Sambhu Chak,Sambhu Chak,26.4081,84.9227,India
Bawāna,Bawana,28.7620,77.0630,India
Aviano,Aviano,46.0667,12.5833,Italy
Villa Aberastain,Villa Aberastain,-31.6500,-68.5833,Argentina
Angelópolis,Angelopolis,6.1333,-75.7000,Colombia
Ben Chicao,Ben Chicao,36.1997,2.8486,Algeria
Cébazat,Cebazat,45.8322,3.1006,France
Bāba Bakāla,Baba Bakala,31.5550,75.2656,India
Bloomingdale,Bloomingdale,36.5793,-82.5096,United States
Natuba,Natuba,-7.6408,-35.5500,Brazil
Bhelsi,Bhelsi,24.7866,79.1281,India
Jasauli Patti,Jasauli Patti,26.4912,84.8818,India
Dalavāypattanam,Dalavaypattanam,10.6747,77.4845,India
West Donegal,West Donegal,40.1297,-76.6226,United States
Haledon,Haledon,40.9363,-74.1887,United States
Attnang-Puchheim,Attnang-Puchheim,48.0167,13.7197,Austria
Séné,Sene,47.6206,-2.7358,France
Rāmnagar,Ramnagar,32.8073,75.3112,India
Indian Harbour Beach,Indian Harbour Beach,28.1529,-80.5976,United States
Czarna Białostocka,Czarna Bialostocka,53.3000,23.2833,Poland
Yasenivskyi,Yasenivskyi,48.1606,39.2175,Ukraine
Açucena,Acucena,-19.0667,-42.5333,Brazil
Chitvel,Chitvel,14.1667,79.3333,India
Winslow,Winslow,35.0243,-110.7095,United States
Nanmucun,Nanmucun,25.1619,114.5559,China
Ferryhill,Ferryhill,54.6900,-1.5500,United Kingdom
Munagāla,Munagala,17.0500,79.8333,India
Harwood Heights,Harwood Heights,41.9663,-87.8057,United States
Colméia,Colmeia,-8.7289,-48.7650,Brazil
Tena,Tena,4.6547,-74.3900,Colombia
Plön,Plon,54.1622,10.4214,Germany
Corgao,Corgao,15.7096,73.7497,India
Bikkatti,Bikkatti,11.3741,76.7513,India
Esanai,Esanai,11.3004,78.8314,India
Mālior,Malior,25.3900,87.8473,India
Kotabommāli,Kotabommali,18.5333,84.1667,India
Yellanda,Yellanda,17.7929,79.5912,India
Colorno,Colorno,44.9333,10.3833,Italy
Peebles,Peebles,55.6519,-3.1889,United Kingdom
Broughton Astley,Broughton Astley,52.5278,-1.2275,United Kingdom
Bogota,Bogota,40.8751,-74.0293,United States
Almoloya del Río,Almoloya del Rio,19.1586,-99.4886,Mexico
Viale,Viale,-31.8667,-60.0167,Argentina
Tshabong,Tshabong,-26.0200,22.4056,Botswana
Bad Lauchstädt,Bad Lauchstadt,51.3667,11.8333,Germany
Borio,Borio,25.0344,87.5925,India
Nawāda,Nawada,25.5037,85.7325,India
Rāmgarha,Ramgarha,25.7983,84.9592,India
Belma,Belma,12.8700,74.8400,India
Juncos,Juncos,18.2256,-65.9161,Puerto Rico
Montagnana,Montagnana,45.2333,11.4611,Italy
Ban Nikhom Phatthana,Ban Nikhom Phatthana,16.7242,99.9697,Thailand
Caputira,Caputira,-20.1667,-42.2667,Brazil
Sampgaon,Sampgaon,15.7900,74.7500,India
Kafr Sajnah,Kafr Sajnah,35.5261,36.5886,Syria
Khagaur,Khagaur,25.1744,86.1021,India
Ladue,Ladue,38.6377,-90.3815,United States
Beaver Falls,Beaver Falls,40.7619,-80.3226,United States
Chinna Kalaiyamputtūr,Chinna Kalaiyamputtur,10.4714,77.4657,India
Bestensee,Bestensee,52.2500,13.6500,Germany
Glastonbury,Glastonbury,51.1485,-2.7140,United Kingdom
Monteforte d’Alpone,Monteforte d'Alpone,45.4167,11.2833,Italy
Thap Than,Thap Than,15.4570,99.8959,Thailand
Seddouk Oufella,Seddouk Oufella,36.6061,4.6389,Algeria
Guttikonda,Guttikonda,16.4300,79.8340,India
Qashyr,Qashyr,53.0804,76.0900,Kazakhstan
Bni Sidel,Bni Sidel,35.1392,-3.1281,Morocco
La Junta,La Junta,28.4778,-107.3317,Mexico
West Caln,West Caln,40.0237,-75.8866,United States
Hürtgenwald,Hurtgenwald,50.7100,6.3744,Germany
Nunchía,Nunchia,5.6333,-72.2000,Colombia
Purcellville,Purcellville,39.1378,-77.7110,United States
Edgewater,Edgewater,38.9373,-76.5572,United States
Zhur,Zhur,42.1639,20.6211,Kosovo
Neuhaus am Rennweg,Neuhaus am Rennweg,50.5167,11.1500,Germany
Shahr-e Pīr,Shahr-e Pir,28.3122,54.3328,Iran
Florø,Floro,61.5996,5.0328,Norway
Monastyryshche,Monastyryshche,48.9900,29.8011,Ukraine
Horokhiv,Horokhiv,50.4994,24.7650,Ukraine
Monistrol-sur-Loire,Monistrol-sur-Loire,45.2933,4.1728,France
Kovvali,Kovvali,16.7333,81.1667,India
Gouvieux,Gouvieux,49.1883,2.4169,France
Balvādi,Balvadi,21.4412,75.2230,India
Castelnuovo Berardenga,Castelnuovo Berardenga,43.3474,11.5044,Italy
Vila Nova de Cerveira,Vila Nova de Cerveira,41.9667,-8.6833,Portugal
Sai Ngam,Sai Ngam,16.4669,99.8902,Thailand
Cholavaram,Cholavaram,13.2389,80.1627,India
Kara-Bak,Kara-Bak,40.1583,70.8167,Kyrgyzstan
Thị Trấn Đồng Đăng,Thi Tran Dong Dang,21.9458,106.6967,Vietnam
Libonik,Libonik,40.7500,20.7167,Albania
Morières-lès-Avignon,Morieres-les-Avignon,43.9425,4.9053,France
Edgewater Park,Edgewater Park,40.0540,-74.9117,United States
Mikhaylovsk,Mikhaylovsk,56.4500,59.1333,Russia
Rāmapattanam,Ramapattanam,10.7106,76.9183,India
Hope,Hope,33.6682,-93.5895,United States
Chirongui,Chirongui,-12.9344,45.1511,Mayotte
Zawyat Sidi al Mekki,Zawyat Sidi al Mekki,33.2120,-7.7170,Morocco
Suoyarvi,Suoyarvi,62.0833,32.3500,Russia
Terra Nova,Terra Nova,-8.2300,-39.3758,Brazil
Eslohe,Eslohe,51.2500,8.1667,Germany
Mangalpur Gudaria,Mangalpur Gudaria,26.6513,84.4832,India
Nānguneri,Nanguneri,8.4906,77.6588,India
Māldah,Maldah,25.1740,85.7599,India
Somero,Somero,60.6333,23.5167,Finland
Khorāgāchhi,Khoragachhi,26.3344,87.5411,India
Upper Leacock,Upper Leacock,40.0801,-76.1854,United States
Village St. George,Village St. George,30.3598,-91.0672,United States
Santa María del Tule,Santa Maria del Tule,17.0465,-96.6363,Mexico
